id,category,type,question,choice1,choice2,choice3,choice4,answer,explanation
L001,ライフプランニング,ox,国民年金保険料は定額である,○,×,,,0,国民年金保険料は定額です
L002,ライフプランニング,ox,国民年金の被保険者は20歳から60歳未満である,○,×,,,0,原則20歳以上60歳未満です
L003,ライフプランニング,ox,厚生年金は自営業者が加入する制度である,○,×,,,1,会社員などが加入します
L004,ライフプランニング,ox,老齢基礎年金を受給するには原則10年以上の受給資格期間が必要である,○,×,,,0,受給資格期間は原則10年以上です
L005,ライフプランニング,ox,雇用保険の失業給付は非課税である,○,×,,,0,失業給付は非課税です
L006,ライフプランニング,ox,労災保険の保険料は全額労働者負担である,○,×,,,1,全額事業主負担です
L007,ライフプランニング,ox,健康保険の被扶養者は保険料負担がない,○,×,,,0,被扶養者は保険料負担不要です
L008,ライフプランニング,ox,介護保険の第1号被保険者は65歳以上である,○,×,,,0,65歳以上が第1号被保険者です
L009,ライフプランニング,ox,教育一般貸付は日本政策金融公庫が取り扱う,○,×,,,0,日本政策金融公庫が実施しています
L010,ライフプランニング,ox,住宅ローンの元利均等返済では返済額が一定である,○,×,,,0,返済額は一定です
L011,ライフプランニング,ox,国民年金基金は会社員のみ加入できる,○,×,,,1,主に自営業者等が対象です
L012,ライフプランニング,ox,傷病手当金は健康保険から支給される,○,×,,,0,健康保険の給付です
L013,ライフプランニング,ox,出産育児一時金は健康保険から支給される,○,×,,,0,健康保険の給付です
L014,ライフプランニング,ox,遺族基礎年金は一定の遺族に支給される,○,×,,,0,一定の要件を満たす遺族に支給されます
L015,ライフプランニング,ox,国民年金は国税で運営されている制度である,○,×,,,1,保険料を財源とする社会保険制度です
L016,ライフプランニング,ox,社会保険料控除は所得控除である,○,×,,,0,所得控除の一つです
L017,ライフプランニング,ox,企業年金には確定給付企業年金がある,○,×,,,0,企業年金制度の一つです
L018,ライフプランニング,ox,確定拠出年金では運用成果が給付額に反映される,○,×,,,0,運用結果によって受給額が変わります
L019,ライフプランニング,ox,老齢厚生年金は厚生年金加入期間に応じて増減する,○,×,,,0,加入期間や報酬に応じます
L020,ライフプランニング,ox,雇用保険はすべての働く人が加入できる,○,×,,,1,加入要件があります
R001,リスク管理,ox,生命保険の基本機能は保障である,○,×,,,0,生命保険は万一の際の経済的保障を目的とします
R002,リスク管理,ox,定期保険は満期保険金がある,○,×,,,1,定期保険には通常満期保険金はありません
R003,リスク管理,ox,終身保険は一生涯保障が続く,○,×,,,0,終身保険は被保険者が死亡するまで保障されます
R004,リスク管理,ox,養老保険は死亡保険金と満期保険金が同額である,○,×,,,0,養老保険の特徴です
R005,リスク管理,ox,収入保障保険は年金形式で保険金を受け取る,○,×,,,0,毎月または毎年受け取る形式です
R006,リスク管理,ox,医療保険は第三分野保険に分類される,○,×,,,0,第三分野保険に該当します
R007,リスク管理,ox,がん保険は第一分野保険である,○,×,,,1,第三分野保険です
R008,リスク管理,ox,生命保険料控除は所得控除である,○,×,,,0,所得控除の一つです
R009,リスク管理,ox,一般生命保険料控除の限度額は一定である,○,×,,,0,上限額が定められています
R010,リスク管理,ox,個人年金保険料控除を受けるには要件がある,○,×,,,0,税法上の要件を満たす必要があります
R011,リスク管理,ox,損害保険は偶然な事故による損害を補償する,○,×,,,0,損害保険の基本です
R012,リスク管理,ox,火災保険は地震による損害も補償する,○,×,,,1,地震保険の加入が必要です
R013,リスク管理,ox,地震保険は単独で加入できる,○,×,,,1,火災保険とセット加入です
R014,リスク管理,ox,自動車損害賠償責任保険は強制保険である,○,×,,,0,自賠責保険は加入義務があります
R015,リスク管理,ox,任意自動車保険は加入義務がある,○,×,,,1,加入は任意です
R016,リスク管理,ox,対人賠償保険は他人を死傷させた場合の損害を補償する,○,×,,,0,対人事故を補償します
R017,リスク管理,ox,対物賠償保険は自分の車の修理費を補償する,○,×,,,1,他人の財物への損害を補償します
R018,リスク管理,ox,車両保険は自分の車の損害を補償する,○,×,,,0,自車の修理費等を補償します
R019,リスク管理,ox,傷害保険は病気のみを補償する,○,×,,,1,主に急激・偶然・外来の事故を補償します
R020,リスク管理,ox,海外旅行保険は旅行中の病気や事故を補償する,○,×,,,0,海外旅行時のリスクに備えます
R021,リスク管理,ox,生命保険契約者と被保険者は必ず同一人である,○,×,,,1,異なる場合もあります
R022,リスク管理,ox,保険金受取人は指定できる,○,×,,,0,契約時に指定できます
R023,リスク管理,ox,告知義務違反があると保険金が支払われないことがある,○,×,,,0,重大な場合は解除されます
R024,リスク管理,ox,契約転換制度は既契約を活用する制度である,○,×,,,0,積立部分等を利用します
